Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 20:17:20,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 1/6/2024, 20:17:20.676,0.0013919,
1, 1/6/2024, 20:17:21.527,0.0013951,
2, 1/6/2024, 20:17:22.039,0.0013963,
3, 1/6/2024, 20:17:22.567,0.0013963,
4, 1/6/2024, 20:17:23.071,0.001397,
5, 1/6/2024, 20:17:23.598,0.0013962,
6, 1/6/2024, 20:17:24.099,0.0013959,
7, 1/6/2024, 20:17:24.616,0.0013968,
8, 1/6/2024, 20:17:25.135,0.0013949,
9, 1/6/2024, 20:17:25.655,0.0013957,
10, 1/6/2024, 20:17:26.178,0.0013978,
11, 1/6/2024, 20:17:26.680,0.0013979,
12, 1/6/2024, 20:17:27.182,0.001397,
13, 1/6/2024, 20:17:27.705,0.0013971,
14, 1/6/2024, 20:17:28.224,0.0013953,
15, 1/6/2024, 20:17:28.743,0.001395,
16, 1/6/2024, 20:17:29.261,0.0013941,
17, 1/6/2024, 20:17:29.783,0.0013955,
18, 1/6/2024, 20:17:30.305,0.0013948,
19, 1/6/2024, 20:17:30.822,0.0013963,
20, 1/6/2024, 20:17:31.347,0.001395,
21, 1/6/2024, 20:17:31.866,0.001394,
22, 1/6/2024, 20:17:32.385,0.0013956,
23, 1/6/2024, 20:17:32.903,0.0013949,
24, 1/6/2024, 20:17:32.935,0.0013934,
25, 1/6/2024, 20:17:32.966,0.0013934,
26, 1/6/2024, 20:17:32.999,0.001394,
27, 1/6/2024, 20:17:33.030,0.0013925,
28, 1/6/2024, 20:17:33.548,0.0013947,
29, 1/6/2024, 20:17:34.073,0.0013948,
30, 1/6/2024, 20:17:34.593,0.0013961,
31, 1/6/2024, 20:17:35.112,0.0013961,
32, 1/6/2024, 20:17:35.633,0.0013971,
33, 1/6/2024, 20:17:36.152,0.0013974,
34, 1/6/2024, 20:17:36.666,0.0013952,
35, 1/6/2024, 20:17:37.186,0.0013953,
36, 1/6/2024, 20:17:37.704,0.001394,
37, 1/6/2024, 20:17:38.224,0.0013937,
38, 1/6/2024, 20:17:38.746,0.0013928,
39, 1/6/2024, 20:17:39.268,0.0013954,
40, 1/6/2024, 20:17:39.786,0.0013922,
41, 1/6/2024, 20:17:40.304,0.0013952,
42, 1/6/2024, 20:17:40.824,0.0013944,
43, 1/6/2024, 20:17:41.343,0.0013953,
44, 1/6/2024, 20:17:41.863,0.0013958,
45, 1/6/2024, 20:17:42.382,0.0013952,
46, 1/6/2024, 20:17:42.905,0.0013969,
47, 1/6/2024, 20:17:42.937,0.0013961,
48, 1/6/2024, 20:17:42.967,0.0013955,
49, 1/6/2024, 20:17:42.999,0.0013952,
50, 1/6/2024, 20:17:43.030,0.0013985,
51, 1/6/2024, 20:17:43.543,0.0013962,
52, 1/6/2024, 20:17:44.063,0.0013966,
53, 1/6/2024, 20:17:44.581,0.0013951,
54, 1/6/2024, 20:17:45.099,0.0013976,
55, 1/6/2024, 20:17:45.620,0.0013979,
56, 1/6/2024, 20:17:46.140,0.0013955,
57, 1/6/2024, 20:17:46.658,0.0013944,
58, 1/6/2024, 20:17:47.178,0.0013948,
59, 1/6/2024, 20:17:47.696,0.0013974,
60, 1/6/2024, 20:17:48.215,0.0013951,
61, 1/6/2024, 20:17:48.737,0.0013987,
62, 1/6/2024, 20:17:49.237,0.001397,
63, 1/6/2024, 20:17:49.756,0.0013963,
64, 1/6/2024, 20:17:50.277,0.001395,
65, 1/6/2024, 20:17:50.794,0.0013954,
66, 1/6/2024, 20:17:51.314,0.0013945,
67, 1/6/2024, 20:17:51.832,0.0013921,
68, 1/6/2024, 20:17:52.353,0.0013944,
69, 1/6/2024, 20:17:52.873,0.0013937,
70, 1/6/2024, 20:17:52.906,0.0013949,
71, 1/6/2024, 20:17:52.937,0.0013937,
72, 1/6/2024, 20:17:52.968,0.0013931,
73, 1/6/2024, 20:17:52.999,0.0013937,
74, 1/6/2024, 20:17:53.031,0.0013934,
75, 1/6/2024, 20:17:53.553,0.0013936,
76, 1/6/2024, 20:17:54.071,0.0013934,
