Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 21:30:04,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 1/6/2024, 21:30:04.911,0.0013854,
1, 1/6/2024, 21:30:05.332,0.0013871,
2, 1/6/2024, 21:30:05.862,0.0013874,
3, 1/6/2024, 21:30:06.385,0.0013878,
4, 1/6/2024, 21:30:06.887,0.0013872,
5, 1/6/2024, 21:30:06.917,0.001388,
6, 1/6/2024, 21:30:06.963,0.0013886,
7, 1/6/2024, 21:30:06.999,0.0013874,
8, 1/6/2024, 21:30:07.030,0.0013886,
9, 1/6/2024, 21:30:07.554,0.0013873,
10, 1/6/2024, 21:30:08.075,0.0013875,
11, 1/6/2024, 21:30:08.591,0.0013868,
12, 1/6/2024, 21:30:09.112,0.0013877,
13, 1/6/2024, 21:30:09.632,0.0013882,
14, 1/6/2024, 21:30:10.153,0.0013871,
15, 1/6/2024, 21:30:10.670,0.0013892,
16, 1/6/2024, 21:30:11.172,0.0013881,
17, 1/6/2024, 21:30:11.689,0.0013873,
18, 1/6/2024, 21:30:12.209,0.0013884,
19, 1/6/2024, 21:30:12.714,0.0013893,
20, 1/6/2024, 21:30:13.244,0.0013891,
21, 1/6/2024, 21:30:13.760,0.0013882,
22, 1/6/2024, 21:30:14.276,0.0013879,
23, 1/6/2024, 21:30:14.795,0.0013881,
24, 1/6/2024, 21:30:15.315,0.0013886,
25, 1/6/2024, 21:30:15.833,0.0013872,
26, 1/6/2024, 21:30:16.352,0.0013869,
27, 1/6/2024, 21:30:16.876,0.0013838,
28, 1/6/2024, 21:30:16.918,0.0013854,
29, 1/6/2024, 21:30:16.949,0.0013866,
30, 1/6/2024, 21:30:16.980,0.0013886,
31, 1/6/2024, 21:30:17.012,0.001388,
32, 1/6/2024, 21:30:17.532,0.001388,
33, 1/6/2024, 21:30:18.050,0.0013871,
34, 1/6/2024, 21:30:18.570,0.0013861,
35, 1/6/2024, 21:30:19.090,0.0013872,
36, 1/6/2024, 21:30:19.609,0.001388,
37, 1/6/2024, 21:30:20.130,0.0013883,
38, 1/6/2024, 21:30:20.649,0.0013885,
39, 1/6/2024, 21:30:21.169,0.001388,
40, 1/6/2024, 21:30:21.689,0.0013901,
41, 1/6/2024, 21:30:22.192,0.0013889,
42, 1/6/2024, 21:30:22.714,0.0013881,
43, 1/6/2024, 21:30:23.238,0.001387,
44, 1/6/2024, 21:30:23.759,0.0013872,
45, 1/6/2024, 21:30:24.284,0.0013872,
46, 1/6/2024, 21:30:24.804,0.0013883,
47, 1/6/2024, 21:30:25.329,0.0013873,
48, 1/6/2024, 21:30:25.848,0.001386,
49, 1/6/2024, 21:30:26.365,0.0013863,
50, 1/6/2024, 21:30:26.886,0.0013872,
51, 1/6/2024, 21:30:26.918,0.0013871,
52, 1/6/2024, 21:30:26.949,0.001386,
53, 1/6/2024, 21:30:26.981,0.0013871,
54, 1/6/2024, 21:30:27.012,0.0013907,
55, 1/6/2024, 21:30:27.540,0.0013871,
56, 1/6/2024, 21:30:28.057,0.0013889,
57, 1/6/2024, 21:30:28.577,0.0013882,
58, 1/6/2024, 21:30:29.098,0.0013874,
59, 1/6/2024, 21:30:29.619,0.0013861,
60, 1/6/2024, 21:30:30.138,0.0013857,
61, 1/6/2024, 21:30:30.658,0.0013882,
62, 1/6/2024, 21:30:31.179,0.0013854,
63, 1/6/2024, 21:30:31.698,0.0013876,
64, 1/6/2024, 21:30:32.217,0.0013876,
65, 1/6/2024, 21:30:32.742,0.0013882,
66, 1/6/2024, 21:30:33.263,0.0013877,
67, 1/6/2024, 21:30:33.786,0.0013867,
68, 1/6/2024, 21:30:34.305,0.0013885,
69, 1/6/2024, 21:30:34.823,0.0013871,
70, 1/6/2024, 21:30:35.344,0.001385,
71, 1/6/2024, 21:30:35.867,0.0013846,
72, 1/6/2024, 21:30:36.386,0.001387,
73, 1/6/2024, 21:30:36.901,0.0013871,
74, 1/6/2024, 21:30:36.932,0.0013815,
75, 1/6/2024, 21:30:36.979,0.0013863,
76, 1/6/2024, 21:30:37.012,0.0013868,
77, 1/6/2024, 21:30:37.531,0.0013878,
78, 1/6/2024, 21:30:38.050,0.0013883,
79, 1/6/2024, 21:30:38.571,0.0013862,
80, 1/6/2024, 21:30:39.091,0.0013858,
81, 1/6/2024, 21:30:39.612,0.0013877,
82, 1/6/2024, 21:30:40.125,0.0013877,
83, 1/6/2024, 21:30:40.654,0.0013875,
84, 1/6/2024, 21:30:41.176,0.0013853,
85, 1/6/2024, 21:30:41.693,0.0013852,
86, 1/6/2024, 21:30:42.213,0.0013862,
87, 1/6/2024, 21:30:42.735,0.0013866,
88, 1/6/2024, 21:30:43.256,0.0013876,
89, 1/6/2024, 21:30:43.779,0.0013878,
90, 1/6/2024, 21:30:44.300,0.0013867,
91, 1/6/2024, 21:30:44.822,0.0013865,
92, 1/6/2024, 21:30:45.344,0.001387,
93, 1/6/2024, 21:30:45.863,0.0013868,
94, 1/6/2024, 21:30:46.384,0.0013864,
95, 1/6/2024, 21:30:46.903,0.0013858,
96, 1/6/2024, 21:30:46.936,0.0013827,
97, 1/6/2024, 21:30:46.967,0.0013803,
98, 1/6/2024, 21:30:47.007,0.0013877,
99, 1/6/2024, 21:30:47.528,0.0013853,
100, 1/6/2024, 21:30:48.048,0.0013847,
101, 1/6/2024, 21:30:48.575,0.0013852,
102, 1/6/2024, 21:30:49.094,0.0013872,
103, 1/6/2024, 21:30:49.615,0.0013864,
104, 1/6/2024, 21:30:50.134,0.0013871,
105, 1/6/2024, 21:30:50.653,0.0013871,
106, 1/6/2024, 21:30:51.174,0.0013872,
107, 1/6/2024, 21:30:51.697,0.0013874,
108, 1/6/2024, 21:30:52.216,0.0013876,
109, 1/6/2024, 21:30:52.740,0.0013884,
110, 1/6/2024, 21:30:53.261,0.0013876,
111, 1/6/2024, 21:30:53.779,0.001387,
112, 1/6/2024, 21:30:54.297,0.0013864,
113, 1/6/2024, 21:30:54.818,0.0013868,
114, 1/6/2024, 21:30:55.335,0.0013872,
115, 1/6/2024, 21:30:55.856,0.001388,
116, 1/6/2024, 21:30:56.365,0.0013879,
117, 1/6/2024, 21:30:56.886,0.0013867,
118, 1/6/2024, 21:30:56.917,0.0013871,
119, 1/6/2024, 21:30:56.948,0.0013886,
120, 1/6/2024, 21:30:56.980,0.0013886,
121, 1/6/2024, 21:30:57.010,0.0013877,
122, 1/6/2024, 21:30:57.532,0.0013873,
123, 1/6/2024, 21:30:58.051,0.0013862,
124, 1/6/2024, 21:30:58.571,0.0013861,
125, 1/6/2024, 21:30:59.097,0.0013838,
126, 1/6/2024, 21:30:59.621,0.001387,
127, 1/6/2024, 21:31:00.137,0.0013859,
128, 1/6/2024, 21:31:00.659,0.001385,
129, 1/6/2024, 21:31:01.178,0.0013852,
130, 1/6/2024, 21:31:01.699,0.0013847,
131, 1/6/2024, 21:31:02.220,0.0013841,
132, 1/6/2024, 21:31:02.741,0.0013857,
133, 1/6/2024, 21:31:03.258,0.0013851,
134, 1/6/2024, 21:31:03.777,0.0013869,
135, 1/6/2024, 21:31:04.301,0.0013861,
136, 1/6/2024, 21:31:04.821,0.0013834,
137, 1/6/2024, 21:31:05.339,0.0013837,
138, 1/6/2024, 21:31:05.865,0.0013835,
139, 1/6/2024, 21:31:06.386,0.0013827,
140, 1/6/2024, 21:31:06.907,0.001385,
141, 1/6/2024, 21:31:06.938,0.0013848,
142, 1/6/2024, 21:31:06.969,0.0013839,
143, 1/6/2024, 21:31:07.000,0.0013857,
144, 1/6/2024, 21:31:07.526,0.0013849,
145, 1/6/2024, 21:31:08.047,0.0013856,
146, 1/6/2024, 21:31:08.568,0.0013844,
147, 1/6/2024, 21:31:09.090,0.0013847,
148, 1/6/2024, 21:31:09.611,0.0013857,
149, 1/6/2024, 21:31:10.132,0.0013852,
150, 1/6/2024, 21:31:10.652,0.0013836,
151, 1/6/2024, 21:31:11.169,0.001385,
152, 1/6/2024, 21:31:11.688,0.0013845,
153, 1/6/2024, 21:31:12.208,0.0013848,
154, 1/6/2024, 21:31:12.726,0.0013838,
155, 1/6/2024, 21:31:13.246,0.0013845,
156, 1/6/2024, 21:31:13.765,0.001384,
157, 1/6/2024, 21:31:14.293,0.0013834,
158, 1/6/2024, 21:31:14.814,0.0013844,
159, 1/6/2024, 21:31:15.342,0.0013852,
160, 1/6/2024, 21:31:15.863,0.0013846,
161, 1/6/2024, 21:31:16.378,0.0013838,
162, 1/6/2024, 21:31:16.896,0.0013826,
163, 1/6/2024, 21:31:16.926,0.001383,
164, 1/6/2024, 21:31:16.957,0.001383,
165, 1/6/2024, 21:31:16.988,0.001383,
166, 1/6/2024, 21:31:17.018,0.0013839,
167, 1/6/2024, 21:31:17.538,0.0013833,
168, 1/6/2024, 21:31:18.057,0.0013848,
169, 1/6/2024, 21:31:18.575,0.0013842,
170, 1/6/2024, 21:31:19.100,0.0013849,
